purple air sensors matched to index in HRRR-Smoke grid. Each column is a grid index + distance from that point to PA sensor.0,1,2,3
"(24605, 976.5177587623076)","(24606, 2283.592804881296)","(24944, 2554.001905211411)",
"(63204, 2525.4059202844555)","(63543, 533.5967101946171)","(63544, 2826.513220235552)",
"(62525, 2369.2665940473858)","(62864, 751.6176914309574)","(62865, 2726.262681154491)",
"(27998, 2744.001482080788)","(27999, 2242.4374912286994)","(28337, 2181.5048175333936)","(28338, 1501.6031697456865)"
"(75326, 354.0314507070382)","(75327, 2689.977467797805)","(75665, 2866.156403191113)",
"(27305, 2275.803107838873)","(27644, 750.0593030472157)","(27645, 2904.602410384208)",
"(41139, 2548.1739894656707)","(41140, 1014.3016625676921)","(41479, 2248.980548916708)",
"(24940, 2997.600343478049)","(25279, 224.2226724129228)","(25280, 2782.5939895560027)",
"(28675, 1183.627867063738)","(28676, 1947.7497228326633)","(29014, 2804.002954592862)",
"(24599, 2858.587012829736)","(24938, 1042.76256491097)","(24939, 2036.6428947414017)",
"(23927, 2337.679561623739)","(23928, 2648.4826897839926)","(24266, 1605.4284204319424)","(24267, 2033.3726719779447)"
"(10107, 2303.303692490484)","(10446, 698.2898713992569)",,
"(23643, 2298.4975067060423)","(23981, 2660.4681705316734)","(23982, 878.0885758651565)",
"(75362, 2624.872550553907)","(75701, 418.77323543456487)","(75702, 2854.577809770428)",
"(23927, 2337.679561623739)","(23928, 2648.4826897839926)","(24266, 1605.4284204319424)","(24267, 2033.3726719779447)"
"(24941, 1463.9396509204184)","(24942, 1658.0328698915673)","(25280, 2930.6185852267195)",
"(28668, 1793.9248214101376)","(28669, 1528.0844408446635)","(29007, 2824.468009860369)","(29008, 2664.868283021654)"
"(27340, 2333.816432385644)","(27341, 776.4153559200128)","(27680, 2753.1422925749252)",
"(27643, 1774.166665053676)","(27644, 1707.0800252177896)","(27982, 2618.5082971607812)","(27983, 2573.773314139631)"
"(28337, 1921.9923881982875)","(28338, 1129.5759156737208)","(28677, 2961.826913371571)",
"(28337, 1732.3518359115176)","(28338, 1645.0562117205889)","(28676, 2715.6989732285056)","(28677, 2660.7082815867916)"
"(24962, 964.3667330620084)","(24963, 2063.8287448851343)","(25301, 2991.257135964461)",
"(25614, 1294.5949419837061)","(25615, 1732.6900169332266)",,
"(27305, 2425.9507196815152)","(27644, 642.8983621844885)","(27645, 2793.9113974216757)",
"(27997, 2706.584971051252)","(27998, 1108.5651302240865)","(28337, 2060.124049196903)",
"(24599, 2303.8971331722905)","(24600, 1874.082110272228)","(24938, 2381.3241933254026)","(24939, 1969.0104342925717)"
"(41140, 2003.0488729161455)","(41479, 1130.3983566429608)","(41480, 2762.9747292377383)",
"(34438, 2643.8567993736806)","(34777, 961.0746803483827)","(34778, 2233.3414745571376)",
"(27002, 320.70396292896237)","(27003, 2769.206581931767)","(27341, 2805.267328981977)",
"(29023, 1789.2372051982582)","(29024, 1233.0360258082194)",,
"(76009, 1009.994593106478)","(76010, 2736.9508713703503)","(76348, 2124.9998570801977)",
"(96647, 2486.357885269452)","(96985, 2641.709258794466)","(96986, 691.3696015302438)",
"(24605, 1434.0278111986233)","(24606, 1755.4608621860289)","(24944, 2803.1507486927535)","(24945, 2979.81910884947)"
"(25274, 1400.5310141251648)","(25275, 1628.3229356880047)",,
"(26638, 2396.252626965513)","(26976, 2460.9215791253187)","(26977, 941.5501129544509)",
"(72995, 2849.826872703555)","(72996, 294.57679168918077)","(73335, 2762.7678176627505)",
"(70927, 1812.9023021883627)","(71266, 1311.9758529444296)","(71267, 2850.2193323436954)",
"(28329, 2520.682239570752)","(28330, 1105.5707006460939)","(28669, 2200.406637500359)",
"(28325, 2761.787060958573)","(28326, 1027.0155681533463)","(28665, 2092.5626366232377)",
"(28329, 2520.682239570752)","(28330, 1105.5707006460939)","(28669, 2200.406637500359)",
"(89899, 2475.443326151657)","(89900, 2140.133075092857)","(90238, 2164.2577142793116)","(90239, 1768.5929086861568)"
"(47279, 2429.075103247666)","(47280, 1648.7946745542665)","(47618, 2629.7436669823464)","(47619, 1931.9221776911972)"
"(99754, 1832.9823171159362)","(99755, 1268.1238004826425)","(100094, 2892.9525585246784)",
"(24268, 2569.287153432877)","(24269, 2657.1985506296683)","(24607, 1663.6517297855587)","(24608, 1798.1242428141875)"
